Date,fng_value,hash_rate,tx_count,mempool_size,avg_fee,funding_rate
2009-01-03,,4.97102696296296e-08,,,,
2009-01-07,,0.0,,,,
2009-01-11,,5.26928858074074e-06,,,,
2009-01-15,,6.31320424296296e-06,,,,
2009-01-17,,,109.0,,0.0,
2009-01-19,,5.91552208592593e-06,,,,
2009-01-21,,,105.0,,0.0,
2009-01-23,,3.33058806518518e-06,,,,
2009-01-25,,,192.0,,0.0,
2009-01-27,,5.12015777185185e-06,,,,
2009-01-29,,,122.0,,0.0,
2009-01-31,,6.41262478222222e-06,,,,
2009-02-02,,,129.0,,0.0,
2009-02-04,,6.11436316444444e-06,,,,
2009-02-06,,,122.0,,0.0,
2009-02-08,,6.66117613037037e-06,,,,
2009-02-10,,,120.0,,0.0,
2009-02-12,,5.8658118162963e-06,,,,
2009-02-14,,,136.0,,0.0,
2009-02-16,,6.11436316444444e-06,,,,
2009-02-18,,,118.0,,0.0,
2009-02-20,,6.36291451259259e-06,,,,
2009-02-22,,,125.0,,0.0,
2009-02-24,,5.51783992888889e-06,,,,
2009-02-26,,,107.0,,0.0,
2009-02-28,,5.07044750222222e-06,,,,
2009-03-02,,,108.0,,0.0,
2009-03-04,,5.26928858074074e-06,,,,
2009-03-06,,,117.0,,0.0,
2009-03-08,,5.56755019851852e-06,,,,
2009-03-10,,,107.0,,0.0,
2009-03-12,,5.8658118162963e-06,,,,
2009-03-14,,,110.0,,0.0,
2009-03-16,,6.46233505185185e-06,,,,
2009-03-18,,,116.0,,0.0,
2009-03-20,,5.8658118162963e-06,,,,
2009-03-22,,,120.0,,0.0,
2009-03-24,,5.21957831111111e-06,,,,
2009-03-26,,,118.0,,0.0,
2009-03-28,,5.91552208592593e-06,,,,
2009-03-30,,,120.0,,0.0,
2009-04-01,,5.31899885037037e-06,,,,
2009-04-03,,,116.0,,0.0,
2009-04-05,,6.41262478222222e-06,,,,
2009-04-07,,,100.0,,0.0,
2009-04-09,,4.92131669333333e-06,,,,
2009-04-11,,,121.0,,0.0,
2009-04-13,,5.71668100740741e-06,,,,
2009-04-15,,,113.0,,0.0,
2009-04-17,,5.71668100740741e-06,,,,
2009-04-19,,,120.0,,0.0,
2009-04-21,,6.11436316444444e-06,,,,
2009-04-23,,,75.0,,0.0,
2009-04-25,,6.06465289481481e-06,,,,
2009-04-27,,,104.0,,0.0,
2009-04-29,,6.11436316444444e-06,,,,
2009-05-01,,,121.0,,0.0,
2009-05-03,,5.66697073777778e-06,,,,
2009-05-05,,,136.0,,0.0,
2009-05-07,,6.01494262518519e-06,,,,
2009-05-09,,,77.0,,0.0,
2009-05-11,,5.91552208592593e-06,,,,
2009-05-13,,,116.0,,0.0,
2009-05-15,,7.10856855703704e-06,,,,
2009-05-17,,,127.0,,0.0,
2009-05-19,,4.97102696296296e-06,,,,
2009-05-21,,,82.0,,0.0,
2009-05-23,,3.47971887407407e-07,,,,
2009-05-25,,,109.0,,0.0,
2009-05-27,,6.2137837037037e-06,,,,
2009-05-29,,,107.0,,0.0,
2009-05-31,,5.8658118162963e-06,,,,
2009-06-02,,,110.0,,0.0,
2009-06-04,,1.93870051555556e-06,,,,
2009-06-06,,,27.0,,0.0,
2009-06-08,,3.57913941333333e-06,,,,
2009-06-10,,,82.0,,0.0,
2009-06-12,,4.5236345362963e-06,,,,
2009-06-14,,,72.0,,0.0,
2009-06-16,,3.62884968296296e-06,,,,
2009-06-18,,,80.0,,0.0,
2009-06-20,,4.17566264888889e-06,,,,
2009-06-22,,,77.0,,0.0,
2009-06-24,,4.22537291851852e-06,,,,
2009-06-26,,,90.0,,0.0,
2009-06-28,,2.53522375111111e-06,,,,
2009-06-30,,,86.0,,0.0,
2009-07-02,,3.57913941333333e-06,,,,
2009-07-04,,,89.0,,0.0,
2009-07-06,,4.5236345362963e-06,,,,
2009-07-08,,,74.0,,0.0,
2009-07-10,,4.07624210962963e-06,,,,
2009-07-12,,,77.0,,0.0,
2009-07-14,,3.57913941333333e-06,,,,
2009-07-16,,,71.0,,0.0,
2009-07-18,,1.49130808888889e-07,,,,
2009-07-20,,,71.0,,0.14,
2009-07-22,,3.43000860444444e-06,,,,
2009-07-24,,,73.0,,0.0,
2009-07-26,,6.46233505185185e-07,,,,
2009-07-28,,,41.0,,0.0,
2009-07-30,,6.95943774814815e-07,,,,
2009-08-01,,,28.0,,0.0,
2009-08-03,,7.45654044444445e-07,,,,
2009-08-05,,,87.0,,0.0,
2009-08-07,,3.67855995259259e-06,,,,
2009-08-09,,,101.0,,0.0,
2009-08-11,,3.33058806518518e-06,,,,
2009-08-13,,,85.0,,0.0,
2009-08-15,,1.69014916740741e-06,,,,
2009-08-17,,,17.0,,0.0,
2009-08-19,,7.45654044444445e-07,,,,
2009-08-21,,,13.0,,0.0,
2009-08-23,,5.96523235555555e-07,,,,
2009-08-25,,,51.0,,0.0,
2009-08-27,,1.49130808888889e-06,,,,
2009-08-29,,,78.0,,0.0,
2009-08-31,,4.67276534518518e-06,,,,
2009-09-02,,,65.0,,0.0,
2009-09-04,,3.13174698666667e-06,,,,
2009-09-06,,,68.0,,0.0,
2009-09-08,,3.28087779555556e-06,,,,
2009-09-10,,,67.0,,0.0,
2009-09-12,,3.5294291437037e-06,,,,
2009-09-14,,,74.0,,0.0,
2009-09-16,,2.88319563851852e-06,,,,
2009-09-18,,,78.0,,0.0,
2009-09-20,,3.92711130074074e-06,,,,
2009-09-22,,,27.0,,0.0,
2009-09-24,,4.07624210962963e-06,,,,
2009-09-26,,,100.0,,0.0,
2009-09-28,,4.37450372740741e-06,,,,
2009-09-30,,,85.0,,0.0,
2009-10-02,,3.72827022222222e-06,,,,
2009-10-04,,,53.0,,0.0,
2009-10-06,,2.03812105481482e-06,,,,
2009-10-08,,,70.0,,0.0,
2009-10-10,,3.82769076148148e-06,,,,
2009-10-12,,,59.0,,0.0,
2009-10-14,,2.78377509925926e-06,,,,
2009-10-16,,,61.0,,0.0,
2009-10-18,,3.1814572562963e-06,,,,
2009-10-20,,,96.0,,0.12,
2009-10-22,,4.27508318814815e-06,,,,
2009-10-24,,,63.0,,0.0,
2009-10-26,,3.23116752592593e-06,,,,
2009-10-28,,,67.0,,0.0,
2009-10-30,,3.03232644740741e-06,,,,
2009-11-01,,,25.0,,0.0,
2009-11-03,,2.83348536888889e-06,,,,
2009-11-05,,,58.0,,0.0,
2009-11-07,,3.77798049185185e-06,,,,
2009-11-09,,,64.0,,0.0,
2009-11-11,,3.43000860444444e-06,,,,
2009-11-13,,,83.0,,0.0,
2009-11-15,,4.77218588444444e-06,,,,
2009-11-17,,,92.0,,0.0,
2009-11-19,,3.62884968296296e-06,,,,
2009-11-21,,,73.0,,0.0,
2009-11-23,,4.77218588444444e-06,,,,
2009-11-25,,,90.0,,0.0,
2009-11-27,,3.72827022222222e-06,,,,
2009-11-29,,,60.0,,0.0,
2009-12-01,,3.28087779555556e-06,,,,
2009-12-03,,,88.0,,0.0,
2009-12-05,,2.58493402074074e-06,,,,
2009-12-07,,,112.0,,0.0,
2009-12-09,,4.67276534518518e-06,,,,
2009-12-11,,,112.0,,0.0,
2009-12-13,,5.16986804148148e-06,,,,
2009-12-15,,,112.0,,0.0,
2009-12-17,,8.00335341037037e-06,,,,
2009-12-19,,,199.0,,0.0,
2009-12-21,,9.29582042074074e-06,,,,
2009-12-23,,,154.0,,0.0,
2009-12-25,,7.80451233185185e-06,,,,
2009-12-27,,,168.0,,0.0,
2009-12-29,,8.15248421925926e-06,,,,
2009-12-31,,,138.0,,0.0,
2010-01-02,,7.6442931234091e-06,,,,
2010-01-04,,,183.0,,0.0,
