fold,train_size,val_size,rmse,mae,r2,dir_acc,dir_acc_filtered,trade_pct,direction_aware_score,pred_std
1,355,357,0.06795768279724614,0.0482134112872476,-0.10800682079678037,0.5182072829131653,0.48314606741573035,0.24929971988795518,0.4431228351538391,0.017365114763379097
2,712,357,0.14310351736399193,0.11120141787066994,-0.25993728126886984,0.47619047619047616,0.4311111111111111,0.6302521008403361,0.25666666666666665,0.028844058513641357
3,1069,357,0.08842518867766788,0.065198446249334,-0.37013463261299506,0.4677871148459384,0.46798029556650245,0.5686274509803921,0.3536133748904946,0.025370348244905472
4,1426,357,0.09451115791713008,0.06808751334296591,-0.328986055755945,0.5014005602240896,0.48484848484848486,0.6470588235294118,0.32672376670683934,0.02758629061281681
5,1783,357,0.09090355728763916,0.06501684105549758,-0.014876838822701188,0.5994397759103641,0.6538461538461539,0.3641456582633053,0.7977777777777777,0.02327568642795086
6,2140,357,0.09840483316503924,0.07710695053975039,-0.3783454405727906,0.4733893557422969,0.5215311004784688,0.5854341736694678,0.45749101366396855,0.03917735442519188
7,2497,357,0.0768741376423041,0.055693226320340454,-0.1277343314807622,0.4565826330532213,0.5217391304347826,0.3865546218487395,0.7122222222222222,0.021985989063978195
8,2854,357,0.05648964881619356,0.04174527701265458,-0.06142012639325123,0.5350140056022409,0.512987012987013,0.43137254901960786,0.6499999999999999,0.022513238713145256
9,3211,357,0.06643551521168865,0.05209651662129698,-0.1661045858451955,0.5350140056022409,0.5524475524475524,0.4005602240896359,0.6714527046654818,0.021995073184370995
10,3568,357,0.04761187780810874,0.03563010500551735,-0.1862162953032922,0.5322128851540616,0.5966386554621849,0.3333333333333333,0.7433333333333333,0.020578263327479362
